Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-09-01","2,319","10,822","5.21","0","657","213","3","42","1,040"
"2016-09-02","2,316","10,122","4.31","0","644","252","17","26","1,060"
"2016-09-03","2,244","9,890","4.21","0","680","230","29","13","983"
"2016-09-04","2,347","10,959","5.32","5","619","218","7","37","1,071"
"2016-09-05","2,182","8,061","3.43","0","563","246","15","12","917"
"2016-09-06","2,264","8,803","3.75","0","607","297","8","1","1,016"
"2016-09-07","2,362","11,015","5.53","2","646","218","2","41","1,078"
"2016-09-08","2,164","7,549","3.21","0","691","227","18","1","841"
"2016-09-09","2,194","7,674","3.27","0","554","290","6","0","950"
"2016-09-10","2,467","12,467","5.31","0","873","282","25","20","1,227"
"2016-09-11","2,238","7,619","3.24","0","799","304","6","2","987"
"2016-09-12","2,264","9,236","3.93","0","623","232","22","27","999"
"2016-09-13","2,876","19,993","8.77","0","606","244","48","100","1,729"
"2016-09-14","2,577","15,512","6.6","0","863","215","78","48","1,380"
"2016-09-15","2,596","15,316","6.52","0","592","257","52","39","1,395"
"2016-09-16","2,261","8,383","3.57","0","833","306","0","0","1,003"
"2016-09-17","2,138","7,304","3.11","0","800","237","7","3","831"
"2016-09-18","2,042","7,075","3.01","0","588","199","0","0","715"
"2016-09-19","2,126","7,344","3.13","0","695","257","0","0","849"
"2016-09-20","2,219","9,477","4.9","0","766","137","6","50","863"
"2016-09-21","2,176","7,550","3.21","2","667","218","11","3","833"
"2016-09-22","2,427","11,635","5.84","3","686","202","18","54","1,159"
"2016-09-23","2,103","7,550","3.21","0","668","207","12","3","782"
"2016-09-24","2,342","11,255","5.59","7","622","212","1","41","1,066"
"2016-09-25","2,093","7,396","3.15","0","595","217","9","0","783"
"2016-09-26","2,363","11,408","5.87","4","678","202","5","43","1,073"
"2016-09-27","2,105","7,509","3.2","0","618","206","3","6","774"
"2016-09-28","2,345","11,170","5.78","2","726","179","14","41","1,031"
"2016-09-29","2,139","8,144","3.47","0","694","253","0","0","882"
"2016-09-30","2,334","12,305","6.23","7","700","195","7","44","1,114"

